cellId,seed,starter,clearedHeats,wonNormalOrGauntlet,coins,score,hands,discards,censoredAtCap
normal/medium/adaptive/full/astra,2775637758,polish,8,False,53,6377,19,9,False
normal/medium/adaptive/full/astra,2775637759,polish,9,False,63,7132,23,6,False
normal/medium/adaptive/full/astra,2775637760,polish,8,False,53,5611,22,8,False
normal/medium/adaptive/full/astra,2775637761,polish,11,False,89,12296,23,7,False
normal/medium/adaptive/full/astra,2775637762,polish,10,False,76,8715,31,11,False
normal/medium/adaptive/full/astra,2775637763,polish,11,False,89,14751,24,8,False
normal/medium/adaptive/full/astra,2775637764,polish,12,True,122,14882,15,9,False
normal/medium/adaptive/full/astra,2775637765,polish,11,False,89,12334,26,7,False
normal/medium/adaptive/full/astra,2775637766,polish,9,False,63,6881,25,15,False
normal/medium/adaptive/full/astra,2775637767,polish,8,False,53,5014,19,10,False
normal/medium/adaptive/full/astra,2775637768,polish,11,False,89,12280,27,8,False
normal/medium/adaptive/full/astra,2775637769,polish,6,False,33,2850,15,2,False
normal/medium/adaptive/full/astra,2775637770,polish,12,True,122,15563,33,19,False
normal/medium/adaptive/full/astra,2775637771,polish,7,False,43,3981,15,8,False
normal/medium/adaptive/full/astra,2775637772,polish,11,False,89,11311,26,13,False
normal/medium/adaptive/full/astra,2775637773,polish,6,False,33,5076,12,2,False
normal/medium/adaptive/full/astra,2775637774,polish,6,False,33,3283,14,2,False
normal/medium/adaptive/full/astra,2775637775,polish,12,True,122,15529,21,7,False
normal/medium/adaptive/full/astra,2775637776,polish,11,False,89,17395,19,7,False
normal/medium/adaptive/full/astra,2775637777,polish,7,False,43,4148,17,1,False
normal/medium/adaptive/full/astra,2775637778,polish,5,False,26,2489,12,6,False
normal/medium/adaptive/full/astra,2775637779,polish,10,False,76,9041,28,12,False
normal/medium/adaptive/full/astra,2775637780,polish,12,True,122,12562,25,10,False
normal/medium/adaptive/full/astra,2775637781,polish,7,False,43,4015,15,5,False
normal/medium/adaptive/full/astra,2775637782,polish,11,False,89,14243,25,16,False
normal/medium/adaptive/full/astra,2775637783,polish,8,False,53,4845,19,2,False
normal/medium/adaptive/full/astra,2775637784,polish,11,False,89,11408,19,5,False
normal/medium/adaptive/full/astra,2775637785,polish,11,False,89,18976,19,3,False
normal/medium/adaptive/full/astra,2775637786,polish,7,False,43,3723,18,4,False
normal/medium/adaptive/full/astra,2775637787,polish,9,False,63,10428,17,4,False
