"prefix","joker","rarity","winDelta","progressDelta","runs","wins","winRate","avgTerminalHeat","avgHeatsCleared","heatsClearedDelta","avgScore","avgJokerTriggersPerHand","jokerActiveHandRate","over70","progressDeltaExact","avgProgress","terminalHeatDelta","controlRuns","controlWins","controlWinRate","controlAvgProgress","controlAvgTerminalHeat","controlAvgHeatsCleared","controlAvgScore","difficulty"
"PAIRCSV","rule_breaker+safe_cracker","uncommon+wild","0.395000","0.346325","200","154","0.770000","11.7350","11.5050","0.610000","12596.94","2.6256","0.979339","1","0.346325","11.685338","0.215000","200","75","0.375000","11.339013","11.5200","10.8950","12492.28","medium"
"PAIRCSV","surge+survivor","wild+uncommon","0.375000","0.407405","200","143","0.715000","11.5500","11.2650","0.670000","13345.71","2.8186","0.980229","1","0.407405","11.497955","0.295000","200","68","0.340000","11.090549","11.2550","10.5950","12093.77","medium"
"PAIRCSV","surge+safe_cracker","wild+wild","0.370000","0.613772","200","143","0.715000","11.9050","11.6200","0.870000","13815.27","3.2256","0.986457","1","0.613772","11.830032","0.500000","200","69","0.345000","11.216260","11.4050","10.7500","12208.14","medium"
"PAIRCSV","survivor+safe_cracker","uncommon+wild","0.370000","0.411141","200","145","0.725000","11.6950","11.4200","0.650000","13037.20","2.7409","0.979003","1","0.411141","11.643061","0.280000","200","71","0.355000","11.231920","11.4150","10.7700","12233.21","medium"
"PAIRCSV","rarity_hunter+flushfund","rare+uncommon","0.370000","0.253946","200","141","0.705000","11.5250","11.2300","0.550000","15708.68","3.1339","0.971556","1","0.253946","11.428350","0.180000","200","67","0.335000","11.174404","11.3450","10.6800","11883.08","medium"
"PAIRCSV","trainer+surge","wild+wild","0.365000","0.706755","200","140","0.700000","11.8800","11.5800","0.950000","13643.43","3.4782","0.989320","0","0.706755","11.813747","0.585000","200","67","0.335000","11.106992","11.2950","10.6300","12003.52","medium"
"PAIRCSV","rarity_hunter+ensemble","rare+rare","0.365000","0.497961","200","146","0.730000","11.7450","11.4750","0.740000","17700.72","3.5837","1.000000","1","0.497961","11.682162","0.375000","200","73","0.365000","11.184201","11.3700","10.7350","11987.52","medium"
"PAIRCSV","rarity_hunter+safe_cracker","rare+wild","0.365000","0.335662","200","147","0.735000","11.7450","11.4800","0.580000","17285.93","3.3392","0.996296","1","0.335662","11.683904","0.215000","200","74","0.370000","11.348242","11.5300","10.9000","12397.39","medium"
"PAIRCSV","rarity_hunter+blood_money","rare+wild","0.365000","0.024360","200","145","0.725000","11.3850","11.1100","0.290000","18563.88","3.5143","0.959473","1","0.024360","11.296311","-0.075000","200","72","0.360000","11.271951","11.4600","10.8200","12104.80","medium"
"PAIRCSV","danger_music+survivor","rare+uncommon","0.360000","0.325426","200","140","0.700000","11.4550","11.1550","0.605000","13027.27","2.4418","0.947300","0","0.325426","11.381813","0.245000","200","68","0.340000","11.056388","11.2100","10.5500","12114.53","medium"
"PAIRCSV","flushfund+rule_breaker","uncommon+uncommon","0.355000","0.006153","200","132","0.660000","11.2650","10.9250","0.275000","12508.92","2.4448","0.958209","0","0.006153","11.172705","-0.080000","200","61","0.305000","11.166552","11.3450","10.6500","12064.84","medium"
"PAIRCSV","trainer+blood_money","wild+wild","0.350000","0.427473","200","136","0.680000","11.7750","11.4550","0.655000","14116.98","3.5297","1.000000","0","0.427473","11.711336","0.305000","200","66","0.330000","11.283863","11.4700","10.8000","12224.89","medium"
